"","CVX.Open","CVX.High","CVX.Low","CVX.Close","CVX.Volume","CVX.Adjusted"
"1",92.3125,92.375,89.6875,90.4375,2963200,25.659765
"2",91,92.4375,90.375,92,2713600,26.103091
"3",92.625,94.3125,91.125,91.5625,2663600,25.97896
"4",91.8125,92.3125,90.3125,91.5625,2281000,25.97896
"5",92.125,92.375,91.625,92.0625,2419800,26.120825
"6",92.0625,93.0625,91.375,92.75,2301400,26.315888
"7",92,93.0625,91.375,92.625,2444400,26.280422
"8",92.25,93.4375,91.5,93.25,2723600,26.457753
"9",94.25,94.625,92.1875,93.0625,1938000,26.404554
"10",94,95,93.5,94.75,2365400,26.883347
"11",94.5,97,93.8125,96,3129800,27.238008
"12",97.25,97.25,94.9375,95.8125,2069000,27.184809
"13",95.375,95.5,92.75,93.6875,2711800,26.581885
"14",93.75,94.8125,92.9375,93.1875,3372000,26.44002
"15",93.4375,93.4375,90.0625,90.6875,2280000,25.730697
"16",90.125,90.3125,89.1875,90.125,2430600,25.571099
"17",91.4375,93.375,91.3125,92.625,3185600,26.280422
"18",92.9375,92.9375,91.093758,91.625,2324600,25.996693
"19",91.4375,91.6875,89.875,90.125,2004200,25.571099
"20",90.3125,90.375,89.4375,89.5,2625200,25.393768
"21",90.75,94,90.25,93.6875,3926800,26.581885
"22",93.8125,96.4375,93.5,95.0625,3712000,26.972012
"23",96.5,96.9375,95.8125,96.4375,2542800,27.36214
"24",96.4375,96.5625,95.3125,96.25,1670800,27.308941
"25",96.875,99,96.875,98.3125,2727800,27.894132
"26",98.1875,99.6875,97,99.6875,2562800,28.28426
"27",100,100.8125,97.0625,98.125,2785400,27.840933
"28",96.5,98.125,96.5,97.25,1902800,27.59267
"29",97.6875,99.0625,97.375,98.9375,1502000,28.071463
"30",98.3125,98.375,96,97.125,1514200,27.557204
"31",97.25,97.4375,96,96.3125,1500200,27.326674
"32",97.3125,98.5,96.75,96.9375,1717400,27.504005
"33",96.875,96.875,95.0625,95.625,2014600,27.13161
"34",95.125,95.4375,94.0625,95.125,2041400,26.989745
"35",95.0625,95.6875,93.0625,93.3125,1730400,26.475486
"36",92.9375,94.25,91.625,94.25,2099600,26.741482
"37",94.375,94.5,91.6875,93.625,2307400,26.564152
"38",94.6875,94.6875,93.4375,93.8125,1414400,26.617351
"39",94.0625,95.375,92.1875,92.375,2161000,26.20949
"40",92.875,93.1875,91.5625,91.5625,2799000,25.97896
"41",91.5,92.8125,91.3125,92.25,2406600,26.174024
"42",91.75,92,91.1875,91.375,1889200,25.925761
"43",91.9375,93.3125,91.25,91.25,2363400,25.890295
"44",91.3125,92.5625,90.9375,91.25,1705000,25.890295
"45",92.75,93.0625,91.125,93,2072200,26.386821
"46",93.0625,94.5,92.25,93.5625,2670000,26.546418
"47",94.4375,95.4375,93.4375,95.4375,3391400,27.078411
"48",95.3125,96.4375,95,95.8125,2260000,27.184809
"49",96,96.75,95.6875,96.625,1754800,27.415339
"50",96.5625,97.3125,96.3125,96.8125,2223200,27.468539
"51",96.375,96.375,94.0625,96.0625,2688400,27.255742
"52",95.5,96.9375,94.4375,96.0625,1760200,27.255742
"53",96.125,97.6875,95.4375,96.75,3346200,27.450805
"54",96,96.5,93.8125,95.875,1619400,27.202542
"55",96.125,96.125,93.9375,95.375,3028800,27.060678
"56",94.5,95.875,93.875,94.4375,2777400,26.96716
"57",94.375,95.3125,93.5625,94.5,2766000,26.985007
"58",94.625,95.375,94.625,95.0625,2825800,27.145632
"59",95.0625,96,94.1875,95.9375,3582200,27.395493
"60",95.75,96.4375,95.125,95.9375,2035600,27.395493
"61",96.125,96.375,93.875,95.0625,2014800,27.145632
"62",94.625,94.625,92.0625,92.6875,3805200,26.467438
"63",92.9375,93.5,92.4375,92.75,1707200,26.485285
"64",92.375,92.8125,91.3125,91.3125,1678600,26.074799
"65",91.9375,93.875,91.875,92.3125,2778800,26.360354
"66",92.75,93,91.9375,92.1875,2080200,26.32466
"67",91.625,92.125,91.25,92,1827400,26.271118
"68",92.8125,94.0625,92.8125,93.6875,1428000,26.752993
"69",93.9375,94.4375,92.75,93.1875,2435400,26.610215
"70",94.6875,95.6875,93.375,94.4375,2318400,26.96716
"71",95,98.125,94.9375,97.5625,3580200,27.859521
"72",97.5625,97.75,95.75,95.875,1879000,27.377646
"73",95.6875,95.6875,93.375,93.6875,2585600,26.752993
"74",93.5,94.25,92.3125,92.75,3517600,26.485285
"75",92.875,93.125,91.875,92.3125,3881600,26.360354
"76",92.875,92.9375,91.6875,92.125,1733400,26.306812
"77",92.8125,93.5625,91.9375,93,3257600,26.556674
"78",93.0625,93.125,91.8125,92.125,1121000,26.306812
"79",91.125,91.375,89.0625,89.75,2379400,25.628618
"80",91.375,91.375,89.625,89.625,3271600,25.592923
"81",90.5,91.75,88.9375,89.1875,2338600,25.467993
"82",89.1875,89.6875,87.1875,88,2271800,25.128896
"83",88.1875,89.6875,87.8125,89.1875,1591400,25.467993
"84",88.9375,88.9375,85.5625,87.625,1912600,25.021812
"85",88.5,90.1875,87.8125,88.1875,2275400,25.182437
"86",88.3125,89.0625,87.3125,88.75,2227800,25.343062
"87",88.8125,89.125,87.4375,88.1875,1869600,25.182437
"88",88.9375,88.9375,85.9375,86,2507600,24.557784
"89",86.1875,86.5,83.375,84.5625,3751800,24.147298
"90",85.3125,87.625,84.375,87.625,2989200,25.021812
"91",87.125,87.125,85.125,85.8125,1927400,24.504243
"92",85.625,85.6875,83.9375,85.375,3288000,24.379312
"93",86.875,87.1875,86.25,86.875,3179600,24.807645
"94",86.9375,88.25,86.8125,88,2926800,25.128896
"95",88.5,88.9375,87.75,87.75,2798600,25.057507
"96",88,88.875,87.875,88,1832400,25.128896
"97",88,88.625,86.875,88.3125,3945000,25.218132
"98",88.0625,89.375,87.9375,89.3125,2200600,25.503687
"99",89.75,89.9375,88.3125,89.875,2200400,25.664312
"100",90,92.0625,89.875,92,3029800,26.271118
