,Date,USDBRLV1W,USDBRLV1M,Spread,USDBRLV3M,USDBRLV6M,Spread
T,04/21/2016,21.46,19.86,1.6,19.827,19.632,0.195
W,04/20/2016,17.975,19.682,-1.707,19.755,19.54,0.215
T,04/19/2016,20.2075,21.435,-1.2275,20.225,19.75,0.475
M,04/18/2016,22.6425,22.645,-0.0025,20.88,20.283,0.597
F,04/15/2016,32.66,25.465,7.195,22.188,20.765,1.423
T,04/14/2016,34.0975,25.64,8.4575,22.17,20.88,1.29
W,04/13/2016,34.715,26.545,8.17,22.34,20.7,1.64
T,04/12/2016,32.705,27.065,5.64,22.705,20.955,1.75
M,04/11/2016,33.9625,27.83,6.1325,23.16,21.217,1.943
F,04/08/2016,24.94,26.77,-1.83,23.135,20.94,2.195
T,04/07/2016,22.8075,25.86,-3.0525,22.645,20.737,1.908
W,04/06/2016,22.09,25.875,-3.785,22.575,21.362,1.213
T,04/05/2016,24.42,26.955,-2.535,23.663,21.89,1.773
M,04/04/2016,23.75,25.122,-1.372,23.035,21.325,1.71
F,04/01/2016,23.545,23.295,0.25,22.298,20.91,1.388
T,03/31/2016,22.96,22.695,0.265,21.83,20.7,1.13
W,03/30/2016,21.105,21.862,-0.757,20.993,20.2,0.793
T,03/29/2016,21.57,21.787,-0.217,21.228,20.445,0.783
M,03/28/2016,22.59,22.263,0.327,21.55,20.752,0.798
F,03/25/2016,22.24,21.915,0.325,21.32,20.56,0.76
T,03/24/2016,20.3425,21.76,-1.4175,21.327,20.493,0.834
W,03/23/2016,21.5575,22.362,-0.8045,21.795,20.827,0.968
T,03/22/2016,20.2,21.565,-1.365,20.775,20.21,0.565
M,03/21/2016,21.085,22.313,-1.228,21.245,20.493,0.752
F,03/18/2016,24.92,23.443,1.477,21.763,20.803,0.96
T,03/17/2016,27.445,24.34,3.105,22.8,21.635,1.165
W,03/16/2016,24.78,23.798,0.982,22.182,21.315,0.867
T,03/15/2016,26.725,24.248,2.477,22.353,21.25,1.103
M,03/14/2016,25.29,23.188,2.102,21.46,20.568,0.892
F,03/11/2016,25.135,22.38,2.755,20.938,20.252,0.686
T,03/10/2016,26.125,22.525,3.6,21.545,20.61,0.935
W,03/09/2016,21.135,21.25,-0.115,20.29,19.87,0.42
T,03/08/2016,20.425,20.7,-0.275,19.735,19.507,0.228
M,03/07/2016,22.095,21.205,0.89,19.82,19.52,0.3
F,03/04/2016,23.595,21.052,2.543,19.78,19.45,0.33
T,03/03/2016,20.465,19.075,1.39,18.783,18.79,-0.007
W,03/02/2016,17.98,18.095,-0.115,18.245,18.675,-0.43
T,03/01/2016,19.045,18.93,0.115,18.967,19.23,-0.263
M,02/29/2016,19.6325,19.475,0.1575,19.335,19.43,-0.095
F,02/26/2016,20.01,19.135,0.875,19.283,19.455,-0.172
T,02/25/2016,18.5725,18.845,-0.2725,19.24,19.393,-0.153
W,02/24/2016,19.0025,19.925,-0.9225,19.69,19.815,-0.125
T,02/23/2016,18.9125,19.84,-0.9275,19.77,19.925,-0.155
M,02/22/2016,19.235,20.007,-0.772,20.005,19.995,0.01
F,02/19/2016,19.1925,19.93,-0.7375,20.127,20.318,-0.191
T,02/18/2016,19.7275,20.7,-0.9725,20.18,20.205,-0.025
W,02/17/2016,18.6925,20.072,-1.3795,19.965,20.085,-0.12
T,02/16/2016,19.385,19.948,-0.563,20.08,20.222,-0.142
M,02/15/2016,18.6675,19.432,-0.7645,19.855,20.01,-0.155
F,02/12/2016,19.115,19.825,-0.71,20.255,20.285,-0.03
T,02/11/2016,20.315,20.743,-0.428,20.95,20.94,0.01
W,02/10/2016,19.27,20.235,-0.965,20.255,20.353,-0.098
T,02/09/2016,19.7325,20.655,-0.9225,20.385,20.445,-0.06
M,02/08/2016,18.235,20.497,-2.262,20.327,20.302,0.025
F,02/05/2016,16.8425,19.085,-2.2425,19.585,19.745,-0.16
T,02/04/2016,17.325,19.28,-1.955,19.685,19.73,-0.045
W,02/03/2016,16.015,18.747,-2.732,19.225,19.53,-0.305
T,02/02/2016,16.94,18.517,-1.577,19.237,19.41,-0.173
M,02/01/2016,17.8475,18.445,-0.5975,19.35,19.38,-0.03
