Arrieta, J 		22	6	229.0	0.86	.786	1.76	.236	.271	.507	9.28	1.89	5.90	4.92	15.01
Keuchel, D 		20	8	232.0	1.02	.714	2.29	.262	.314	.575	8.38	1.98	7.18	4.24	15.05
Cole, G 		19	8	208.0	1.09	.704	1.33	.287	.336	.623	8.74	1.90	7.92	4.59	15.57
Greinke, Z 		19	3	222.2	0.84	.864	1.21	.231	.276	.507	8.08	1.62	5.98	5.00	14.55
McHugh, C 		19	7	203.2	1.28	.731	1.10	.315	.390	.705	7.56	2.34	9.15	3.23	15.91
Bumgarner, M 		18	9	218.1	1.01	.667	0.87	.263	.349	.612	9.65	1.61	7.46	6.00	15.17
Hernandez, F 		18	9	201.2	1.18	.667	1.74	.301	.381	.682	8.52	2.59	8.03	3.29	15.07
Price, D 		18	5	220.1	1.08	.783	0.88	.271	.350	.621	9.19	1.92	7.76	4.79	15.38
Lewis, C 		17	9	204.2	1.24	.654	0.58	.308	.430	.738	6.24	1.85	9.28	3.38	15.54
Wacha, M 		17	7	181.1	1.21	.708	1.06	.300	.373	.672	7.59	2.88	8.04	2.64	16.20
Kershaw, C 		16	7	232.2	0.88	.696	1.35	.237	.284	.521	11.64	1.62	6.31	7.17	14.58
Buehrle, M 		15	8	198.2	1.24	.652	1.19	.311	.440	.751	4.12	1.49	9.69	2.76	14.24
Richards, G 		15	12	207.1	1.24	.556	1.59	.305	.359	.664	7.64	3.30	7.86	2.32	15.68
Carrasco, C 		14	12	183.2	1.07	.538	1.52	.277	.369	.646	10.58	2.11	7.55	5.02	15.12
Colon, B 		14	13	194.2	1.24	.519	0.95	.304	.437	.741	6.29	1.11	10.03	5.67	13.90
De La Rosa, R 		14	9	188.2	1.36	.609	1.42	.325	.457	.781	7.16	3.01	9.21	2.38	15.98
deGrom, J 		14	8	191.0	0.98	.636	1.02	.255	.318	.574	9.66	1.79	7.02	5.39	15.58
Eovaldi, N 		14	3	154.1	1.45	.824	1.37	.339	.377	.716	7.06	2.86	10.21	2.47	17.09
Gray, S 		14	7	208.0	1.08	.667	1.40	.273	.316	.590	7.31	2.55	7.18	2.86	14.80
Martinez, C 		14	7	179.2	1.29	.667	1.77	.320	.367	.687	9.22	3.16	8.42	2.92	15.83
Salazar, D 		14	10	185.0	1.13	.583	0.97	.286	.387	.673	9.49	2.58	7.59	3.68	16.48
Scherzer, M 		14	12	228.2	0.92	.538	0.73	.242	.358	.600	10.86	1.34	6.93	8.12	14.69
Estrada, M 		13	8	181.0	1.04	.619	0.56	.269	.364	.633	6.51	2.73	6.66	2.38	16.09
Gallardo, Y 		13	11	184.1	1.42	.542	1.46	.331	.399	.729	5.91	3.32	9.42	1.78	17.50
Hamels, C 		13	8	212.1	1.19	.619	1.23	.300	.369	.669	9.11	2.63	8.05	3.47	15.74
Harvey, M 		13	8	189.1	1.02	.619	1.06	.265	.344	.609	8.94	1.76	7.42	5.08	14.78
Hutchison, D 		13	5	150.1	1.48	.722	0.85	.352	.473	.825	7.72	2.63	10.72	2.93	16.70
Lackey, J 		13	10	218.0	1.21	.565	1.02	.303	.376	.679	7.22	2.19	8.71	3.30	14.34
Sale, C 		13	11	208.2	1.09	.542	0.93	.282	.368	.649	11.82	1.81	7.98	6.52	15.92
Shields, J 		13	7	202.1	1.33	.650	1.13	.327	.450	.776	9.61	3.60	8.41	2.67	16.49
Simon, A 		13	12	187.0	1.44	.520	1.04	.342	.466	.808	5.63	3.27	9.67	1.72	16.36
Ventura, Y 		13	8	163.1	1.30	.619	1.72	.319	.378	.698	8.60	3.20	8.49	2.69	16.23
Volquez, E 		13	9	200.1	1.31	.591	1.03	.320	.372	.692	6.96	3.23	8.54	2.15	16.46
Zimmermann, J 		13	10	201.2	1.20	.565	0.97	.305	.394	.699	7.32	1.74	9.10	4.21	15.39
Archer, C 		12	13	212.0	1.14	.480	0.99	.282	.331	.613	10.70	2.80	7.43	3.82	16.27
Heston, C 		12	11	177.2	1.31	.522	1.76	.331	.397	.728	7.14	3.24	8.56	2.20	15.71
Jimenez, U 		12	10	184.0	1.36	.545	1.37	.330	.397	.728	8.22	3.33	8.90	2.47	16.63
Liriano, F 		12	7	186.2	1.21	.632	1.68	.298	.332	.631	9.88	3.38	7.47	2.93	15.98
Lynn, L 		12	11	175.1	1.37	.522	1.02	.330	.378	.708	8.57	3.49	8.83	2.46	17.41
Pineda, M 		12	10	160.2	1.23	.545	1.35	.301	.451	.752	8.74	1.18	9.86	7.43	15.86
Tanaka, M 		12	7	154.0	0.99	.632	1.23	.254	.420	.674	8.12	1.58	7.36	5.15	14.87
Wood, A 		12	12	189.2	1.36	.500	1.35	.332	.392	.724	6.60	2.80	9.40	2.36	15.34
Bauer, T 		11	12	176.0	1.31	.478	0.82	.319	.394	.713	8.69	4.04	7.77	2.15	16.30
Chen, W 		11	8	191.1	1.22	.579	0.95	.302	.456	.758	7.20	1.93	9.03	3.73	15.73
Cueto, J 		11	13	212.0	1.13	.458	0.99	.288	.387	.675	7.47	1.95	8.24	3.83	15.42
Dickey, R 		11	11	214.1	1.19	.500	1.01	.303	.405	.708	5.29	2.56	8.19	2.07	15.23
Gibson, K 		11	11	194.2	1.29	.500	1.61	.317	.381	.698	6.70	3.01	8.60	2.23	16.62
Gonzalez, G 		11	8	175.2	1.42	.579	1.50	.336	.374	.711	8.66	3.54	9.27	2.45	16.78
