Arrieta, J 		22	6	1.77	229.0	150	52	45	10	48	236	.185	0.86
Keuchel, D 		20	8	2.48	232.0	185	68	64	17	51	216	.217	1.02
Cole, G 		19	8	2.60	208.0	183	71	60	11	44	202	.239	1.09
Greinke, Z 		19	3	1.66	222.2	148	43	41	14	40	200	.187	0.84
McHugh, C 		19	7	3.89	203.2	207	89	88	19	53	171	.263	1.28
Bumgarner, M 		18	9	2.93	218.1	181	73	71	21	39	234	.222	1.01
Hernandez, F 		18	9	3.53	201.2	180	80	79	23	58	191	.240	1.18
Price, D 		18	5	2.45	220.1	190	70	60	17	47	225	.230	1.08
Lewis, C 		17	9	4.66	204.2	211	114	106	26	42	142	.266	1.24
Wacha, M 		17	7	3.38	181.1	162	74	68	19	58	153	.236	1.21
Kershaw, C 		16	7	2.13	232.2	163	62	55	15	42	301	.194	0.88
Buehrle, M 		15	8	3.81	198.2	214	100	84	22	33	91	.279	1.24
Richards, G 		15	12	3.65	207.1	181	94	84	20	76	176	.236	1.24
Carrasco, C 		14	12	3.63	183.2	154	75	74	18	43	216	.228	1.07
Colon, B 		14	13	4.16	194.2	217	94	90	25	24	136	.281	1.24
De La Rosa, R 		14	9	4.67	188.2	193	103	98	32	63	150	.265	1.36
deGrom, J 		14	8	2.54	191.0	149	59	54	16	38	205	.215	0.98
Eovaldi, N 		14	3	4.20	154.1	175	72	72	10	49	121	.285	1.45
Gray, S 		14	7	2.73	208.0	166	71	63	17	59	169	.217	1.08
Martinez, C 		14	7	3.01	179.2	168	65	60	13	63	184	.250	1.29
Salazar, D 		14	10	3.45	185.0	156	79	71	23	53	195	.226	1.13
Scherzer, M 		14	12	2.79	228.2	176	74	71	27	34	276	.208	0.92
Estrada, M 		13	8	3.13	181.0	134	67	63	24	55	131	.203	1.04
Gallardo, Y 		13	11	3.42	184.1	193	76	70	15	68	121	.268	1.42
Hamels, C 		13	8	3.65	212.1	190	88	86	22	62	215	.238	1.19
Harvey, M 		13	8	2.71	189.1	156	62	57	18	37	188	.222	1.02
Hutchison, D 		13	5	5.57	150.1	179	103	93	22	44	129	.297	1.48
Lackey, J 		13	10	2.77	218.0	211	71	67	21	53	175	.256	1.21
Sale, C 		13	11	3.41	208.2	185	88	79	23	42	274	.233	1.09
Shields, J 		13	7	3.91	202.1	189	93	88	33	81	216	.248	1.33
Simon, A 		13	12	5.05	187.0	201	112	105	24	68	117	.276	1.44
Ventura, Y 		13	8	4.08	163.1	154	75	74	14	58	156	.248	1.30
Volquez, E 		13	9	3.55	200.1	190	89	79	16	72	155	.251	1.31
Zimmermann, J 		13	10	3.66	201.2	204	89	82	24	39	164	.264	1.20
Archer, C 		12	13	3.23	212.0	175	85	76	19	66	252	.220	1.14
Heston, C 		12	11	3.95	177.2	169	82	78	16	64	141	.253	1.31
Jimenez, U 		12	10	4.11	184.0	182	89	84	20	68	168	.257	1.36
Liriano, F 		12	7	3.38	186.2	155	75	70	15	70	205	.223	1.21
Lynn, L 		12	11	3.03	175.1	172	66	59	13	68	167	.258	1.37
Pineda, M 		12	10	4.37	160.2	176	83	78	21	21	156	.278	1.23
Tanaka, M 		12	7	3.51	154.0	126	66	60	25	27	139	.221	0.99
Wood, A 		12	12	3.84	189.2	198	86	81	15	59	139	.275	1.36
Bauer, T 		11	12	4.55	176.0	152	90	89	23	79	170	.232	1.31
