Joke_Index	Word_Count	Curse_Count	Exclamation_Count	Worthwhile
1	10	0	0	0
2	14	1	0	1
3	9	0	0	1
4	17	0	0	1
5	19	0	0	0
6	13	0	0	1
7	49	0	1	0
8	129	0	0	1
9	18	0	0	1
10	167	1	1	1
11	11	0	1	1
12	11	0	0	1
13	17	0	0	0
14	7	0	0	0
15	12	0	0	0
16	26	0	0	0
17	54	0	0	0
18	13	0	0	0
19	19	0	0	1
20	33	2	0	1
21	12	0	0	1
22	56	4	0	1
23	24	0	2	1
24	21	1	0	1
25	26	1	0	1
26	22	0	0	1
27	7	0	0	0
28	18	1	1	1
29	5	2	0	1
30	14	0	0	1
31	13	0	0	0
32	18	1	0	0
33	14	0	0	0
34	13	0	0	0
35	157	0	3	0
36	16	2	0	0
37	20	0	0	1
38	12	0	0	0
39	22	0	0	0
40	22	1	0	0
41	14	1	1	0
42	18	0	0	0
43	22	0	0	0
44	18	0	0	1
45	21	1	0	0
46	15	0	0	1
47	18	0	0	1
48	12	0	0	0
49	16	1	1	1
50	15	1	0	1
51	17	0	0	0
52	8	0	0	0
53	19	0	0	0
54	7	0	0	1
55	23	0	0	0
56	9	0	0	0
57	13	0	0	0
58	14	0	0	0
59	14	0	0	0
60	14	0	0	0
61	16	1	0	0
62	18	0	0	0
63	13	0	0	0
64	19	0	0	1
65	16	0	0	0
66	15	0	1	0
67	9	0	0	0
68	20	1	0	1
69	16	0	0	0
70	17	0	0	0
71	15	0	0	0
72	34	1	0	0
73	20	0	0	0
74	12	0	0	0
75	19	0	0	0
76	18	0	0	0
77	12	0	0	0
78	21	1	0	1
79	11	0	0	0
80	17	1	0	0
81	14	0	0	0
82	10	0	0	0
83	13	0	0	0
84	10	0	0	0
85	16	1	0	0
86	13	0	1	0
87	10	0	0	0
88	11	0	0	0
89	22	1	0	0
90	23	1	2	0
91	9	0	0	0
92	20	0	1	1
93	12	0	0	0
94	14	0	0	0
95	21	0	0	1
96	11	0	0	1
97	19	0	0	0
98	15	0	0	0
99	11	0	0	0
100	17	0	0	0
101	11	0	0	1
102	12	1	0	1
103	11	0	0	0
104	16	0	0	0
105	12	0	0	1
106	25	0	0	1
107	17	0	0	0
108	16	0	0	0
109	19	1	0	1
110	12	0	0	0
111	21	0	0	0
112	31	0	0	0
113	16	1	0	1
114	17	0	0	1
115	14	1	0	1
116	8	1	0	0
117	20	0	0	0
118	13	0	0	0
119	16	0	0	0
120	16	0	0	0
121	13	0	0	0
122	10	0	0	1
123	26	0	0	0
124	18	0	0	0
125	22	1	0	0
126	6	0	0	1
127	10	0	0	0
128	13	0	0	0
129	12	0	0	0
130	8	0	0	0
131	11	0	0	0
132	15	0	0	0
133	12	0	0	0
134	9	0	0	0
135	9	0	0	0
136	9	0	1	0
137	12	0	0	0
138	14	1	0	0
139	16	0	0	0
140	12	0	0	0
141	15	0	0	0
142	15	0	0	0
143	14	0	0	0
144	8	0	0	0
145	15	0	0	0
146	19	1	2	0
147	21	0	0	0
148	10	0	0	0
149	28	0	1	0
150	14	0	0	0
151	20	1	0	0
152	13	1	0	0
153	17	0	0	0
154	17	1	0	0
155	8	2	0	0
156	20	0	0	1
157	11	0	0	0
158	22	0	1	1
159	22	1	0	0
160	14	0	0	0
161	8	0	0	1
162	11	0	0	0
163	11	1	0	1
164	15	0	0	0
165	19	0	0	0
166	14	1	1	1
167	18	0	0	0
168	11	0	0	1
169	11	0	0	0
170	17	0	0	0
171	12	0	0	0
172	14	0	0	0
173	12	0	0	0
174	19	0	0	0
175	22	0	0	0
176	16	0	0	0
177	44	0	1	0
178	24	0	0	0
179	40	0	1	0
180	23	1	0	0
181	12	0	0	1
182	14	0	0	1
183	11	0	0	0
184	27	0	0	0
185	16	0	0	0
186	17	1	1	0
187	17	0	1	0
188	17	0	0	1
189	11	1	0	0
190	9	0	0	0
191	13	0	0	0
192	15	0	0	0
193	17	0	0	0
194	13	1	0	0
195	15	0	0	0
196	16	0	0	0
197	15	0	0	0
198	13	0	0	0
199	24	1	0	0
200	23	0	0	0
201	11	0	0	0
202	12	0	0	0
203	15	0	0	0
